[58950/58950 1:29:27, Epoch 5/5]
Step	Training Loss
100	    0.651600
200	    0.610400
300	    0.589500
400	    0.578000
500	    0.589900
600	    0.568200
700	    0.549600
800	    0.547300
900	    0.556100
1000	0.564900
1100	0.546300
1200	0.535400
1300	0.556200
1400	0.530000
1500	0.528800
1600	0.536900
1700	0.550600
1800	0.525800
1900	0.531300
2000	0.527900
2100	0.552800
2200	0.551600
2300	0.536200
2400	0.551800
2500	0.543000
2600	0.525700
2700	0.531400
2800	0.524400
2900	0.541600
3000	0.517500
3100	0.533100
3200	0.501400
3300	0.532400
3400	0.524900
3500	0.538400
3600	0.526200
3700	0.544300
3800	0.522900
3900	0.530600
4000	0.519400
4100	0.513000
4200	0.518600
4300	0.521600
4400	0.525000
4500	0.520600
4600	0.538800
4700	0.519000
4800	0.516000
4900	0.533300
5000	0.533000
5100	0.508500
5200	0.521800
5300	0.524800
5400	0.508900
5500	0.512400
5600	0.509800
5700	0.519000
5800	0.510600
5900	0.512600
6000	0.495900
6100	0.513000
6200	0.515400
6300	0.508700
6400	0.496900
6500	0.523000
6600	0.492700
6700	0.500600
6800	0.506100
6900	0.505200
7000	0.512800
7100	0.511300
7200	0.521600
7300	0.499800
7400	0.512300
7500	0.520400
7600	0.501200
7700	0.518800
7800	0.499400
7900	0.473200
8000	0.501900
8100	0.520300
8200	0.510300
8300	0.507000
8400	0.508700
8500	0.492400
8600	0.506000
8700	0.510800
8800	0.503900
8900	0.512500
9000	0.510400
9100	0.507000
9200	0.501800
9300	0.498600
9400	0.495400
9500	0.504300
9600	0.507700
9700	0.485100
9800	0.493800
9900	0.493900
10000	0.502800
10100	0.494100
10200	0.475900
10300	0.496600
10400	0.492600
10500	0.495700
10600	0.491700
10700	0.492600
10800	0.515300
10900	0.504500
11000	0.498700
11100	0.501500
11200	0.491800
11300	0.485600
11400	0.494000
11500	0.507400
11600	0.488000
11700	0.491500
11800	0.488200
11900	0.476800
12000	0.484100
12100	0.482100
12200	0.488900
12300	0.495500
12400	0.493900
12500	0.493100
12600	0.491700
12700	0.506500
12800	0.498000
12900	0.491300
13000	0.474000
13100	0.499300
13200	0.496900
13300	0.501000
13400	0.494100
13500	0.483000
13600	0.489100
13700	0.475900
13800	0.486900
13900	0.508600
14000	0.478500
14100	0.486800
14200	0.484400
14300	0.496700
14400	0.494000
14500	0.484000
14600	0.481200
14700	0.498500
14800	0.476300
14900	0.486500
15000	0.473300
15100	0.492100
15200	0.504900
15300	0.487900
15400	0.482800
15500	0.475900
15600	0.487900
15700	0.480000
15800	0.473200
15900	0.504300
16000	0.483300
16100	0.480700
16200	0.483700
16300	0.510400
16400	0.471100
16500	0.465500
16600	0.493100
16700	0.500600
16800	0.470100
16900	0.473600
17000	0.490100
17100	0.473600
17200	0.502500
17300	0.485900
17400	0.488200
17500	0.472200
17600	0.467400
17700	0.474900
17800	0.479200
17900	0.495400
18000	0.477000
18100	0.478500
18200	0.485200
18300	0.482000
18400	0.483500
18500	0.488700
18600	0.488600
18700	0.475700
18800	0.484800
18900	0.481800
19000	0.481200
19100	0.474700
19200	0.479400
19300	0.473600
19400	0.471800
19500	0.468500
19600	0.485200
19700	0.470000
19800	0.467000
19900	0.474800
20000	0.477400
20100	0.489000
20200	0.484200
20300	0.483600
20400	0.490800
20500	0.486100
20600	0.488800
20700	0.466300
20800	0.469300
20900	0.486500
21000	0.484300
21100	0.492900
21200	0.477400
21300	0.476800
21400	0.465700
21500	0.485300
21600	0.485100
21700	0.462100
21800	0.465900
21900	0.472900
22000	0.488600
22100	0.476700
22200	0.475600
22300	0.482900
22400	0.467400
22500	0.470600
22600	0.468800
22700	0.465700
22800	0.465000
22900	0.484000
23000	0.482500
23100	0.473600
23200	0.469400
23300	0.463100
23400	0.481400
23500	0.464900
23600	0.471400
23700	0.479800
23800	0.485800
23900	0.465700
24000	0.461800
24100	0.469000
24200	0.490000
24300	0.467500
24400	0.474900
24500	0.456700
24600	0.453500
24700	0.492500
24800	0.482200
24900	0.473700
25000	0.473200
25100	0.482000
25200	0.473900
25300	0.460900
25400	0.474400
25500	0.463200
25600	0.445300
25700	0.474700
25800	0.460000
25900	0.476800
26000	0.465500
26100	0.467000
26200	0.486300
26300	0.467100
26400	0.467200
26500	0.443200
26600	0.460300
26700	0.452500
26800	0.487000
26900	0.482000
27000	0.462000
27100	0.461200
27200	0.484400
27300	0.476500
27400	0.476200
27500	0.476100
27600	0.454600
27700	0.470400
27800	0.473300
27900	0.461300
28000	0.459700
28100	0.466200
28200	0.484900
28300	0.476700
28400	0.458300
28500	0.485100
28600	0.463100
28700	0.480700
28800	0.490500
28900	0.469800
29000	0.467700
29100	0.486400
29200	0.471800
29300	0.463900
29400	0.482900
29500	0.471600
29600	0.465800
29700	0.479200
29800	0.481400
29900	0.470800
30000	0.472300
30100	0.476600
30200	0.448700
30300	0.468700
30400	0.471000
30500	0.464800
30600	0.459300
30700	0.462900
30800	0.459200
30900	0.478600
31000	0.471800
31100	0.460400
31200	0.467400
31300	0.462900
31400	0.444800
31500	0.479000
31600	0.480800
31700	0.457000
31800	0.457700
31900	0.461600
32000	0.466400
32100	0.461200
32200	0.453300
32300	0.462000
32400	0.461600
32500	0.474500
32600	0.472800
32700	0.462500
32800	0.464900
32900	0.474200
33000	0.464200
33100	0.430900
33200	0.466400
33300	0.472000
33400	0.453900
33500	0.464200
33600	0.462000
33700	0.445200
33800	0.464700
33900	0.457000
34000	0.461900
34100	0.457200
34200	0.472100
34300	0.441700
34400	0.466000
34500	0.461600
34600	0.462100
34700	0.464800
34800	0.459000
34900	0.454000
35000	0.467300
35100	0.465800
35200	0.468500
35300	0.466600
35400	0.454200
35500	0.463600
35600	0.471600
35700	0.435600
35800	0.462500
35900	0.453600
36000	0.455600
36100	0.464300
36200	0.452500
36300	0.462800
36400	0.470900
36500	0.448900
36600	0.442400
36700	0.461600
36800	0.486100
36900	0.456700
37000	0.467100
37100	0.478400
37200	0.472100
37300	0.448500
37400	0.451900
37500	0.462400
37600	0.459800
37700	0.455700
37800	0.449800
37900	0.479000
38000	0.475000
38100	0.450500
38200	0.452600
38300	0.442000
38400	0.456100
38500	0.474800
38600	0.472400
38700	0.467000
38800	0.449600
38900	0.442600
39000	0.454200
39100	0.476700
39200	0.453400
39300	0.486100
39400	0.443000
39500	0.474700
39600	0.466000
39700	0.455800
39800	0.446300
39900	0.464500
40000	0.450300
40100	0.459200
40200	0.480400
40300	0.446200
40400	0.472800
40500	0.469600
40600	0.451600
40700	0.445300
40800	0.452000
40900	0.447100
41000	0.449400
41100	0.483100
41200	0.457800
41300	0.461800
41400	0.465600
41500	0.453600
41600	0.465900
41700	0.448800
41800	0.449900
41900	0.465700
42000	0.461500
42100	0.456900
42200	0.464000
42300	0.465400
42400	0.457600
42500	0.460900
42600	0.467500
42700	0.447400
42800	0.477000
42900	0.478200
43000	0.456500
43100	0.469400
43200	0.437800
43300	0.468000
43400	0.449300
43500	0.473400
43600	0.446600
43700	0.458100
43800	0.454700
43900	0.475300
44000	0.456200
44100	0.453900
44200	0.450400
44300	0.448600
44400	0.460700
44500	0.467000
44600	0.443500
44700	0.454300
44800	0.458600
44900	0.458000
45000	0.454500
45100	0.467300
45200	0.447500
45300	0.456500
45400	0.448000
45500	0.459600
45600	0.456400
45700	0.462000
45800	0.450000
45900	0.464800
46000	0.452100
46100	0.436100
46200	0.456900
46300	0.472000
46400	0.476000
46500	0.454600
46600	0.456400
46700	0.446000
46800	0.466000
46900	0.448000
47000	0.449900
47100	0.453300
47200	0.455000
47300	0.459000
47400	0.455600
47500	0.445700
47600	0.434800
47700	0.456900
47800	0.450700
47900	0.468400
48000	0.448200
48100	0.484100
48200	0.448100
48300	0.453200
48400	0.458900
48500	0.446300
48600	0.454600
48700	0.470100
48800	0.439600
48900	0.473200
49000	0.470200
49100	0.445300
49200	0.448900
49300	0.434900
49400	0.438000
49500	0.458800
49600	0.451100
49700	0.441000
49800	0.449100
49900	0.453800
50000	0.453800
50100	0.473400
50200	0.449700
50300	0.472700
50400	0.440100
50500	0.456800
50600	0.459000
50700	0.463200
50800	0.455200
50900	0.462500
51000	0.473200
51100	0.457400
51200	0.455600
51300	0.450900
51400	0.473200
51500	0.463200
51600	0.441300
51700	0.443500
51800	0.456500
51900	0.458600
52000	0.471300
52100	0.457300
52200	0.452300
52300	0.452500
52400	0.456400
52500	0.461300
52600	0.464800
52700	0.442200
52800	0.457600
52900	0.441700
53000	0.462600
53100	0.443900
53200	0.468400
53300	0.457400
53400	0.469000
53500	0.455000
53600	0.448400
53700	0.445700
53800	0.469200
53900	0.453900
54000	0.450100
54100	0.441400
54200	0.458300
54300	0.460200
54400	0.435800
54500	0.460400
54600	0.460700
54700	0.477600
54800	0.473000
54900	0.471700
55000	0.452800
55100	0.430800
55200	0.434800
55300	0.452300
55400	0.464600
55500	0.463900
55600	0.471600
55700	0.455400
55800	0.462100
55900	0.444700
56000	0.445600
56100	0.444300
56200	0.449300
56300	0.451800
56400	0.452300
56500	0.420200
56600	0.450800
56700	0.457200
56800	0.458800
