[176850/176850 5:31:47, Epoch 15/15]
Epoch	Training Loss	Validation Loss	Accuracy
1	0.492800	0.496989	0.732898
2	0.464700	0.467845	0.771598
3	0.452800	0.452577	0.780928
4	0.439100	0.451408	0.769562
5	0.436900	0.436757	0.803130
6	0.436600	0.430290	0.806926
7	0.433800	0.424717	0.801264
8	0.405700	0.420647	0.808368
9	0.418000	0.418670	0.806883
10	0.418900	0.417092	0.807583
11	0.410600	0.413711	0.817550
12	0.413200	0.412166	0.817677
13	0.417500	0.411080	0.816426
14	0.398700	0.411132	0.813054
15	0.397300	0.410162	0.816850
TrainOutput(global_step=176850, training_loss=0.4335128370893854, metrics={'train_runtime': 19909.5546, 'train_samples_per_second': 142.114, 'train_steps_per_second': 8.883, 'total_flos': 2.1925854763516317e+20, 'train_loss': 0.4335128370893854, 'epoch': 15.0})
