Epoch	Training Loss	Validation Loss	Accuracy
1	0.586300	0.579877	0.711290
2	0.541600	0.542200	0.718881
3	0.523600	0.525038	0.726239
4	0.510200	0.515040	0.724755
5	0.501400	0.502191	0.740956
6	0.498800	0.495530	0.739196
7	0.496400	0.488342	0.747763
8	0.468700	0.482918	0.753022
9	0.479100	0.478890	0.754951
10	0.478700	0.475305	0.757008
11	0.469500	0.470580	0.767505
12	0.468400	0.467837	0.773761
13	0.470000	0.464382	0.771301
14	0.452800	0.463448	0.765787
15	0.451600	0.459135	0.777026
16	0.458600	0.456882	0.779719
17	0.447800	0.455896	0.784045
18	0.450900	0.453640	0.775012
19	0.443600	0.451655	0.779444
20	0.454600	0.450128	0.780504
21	0.447200	0.448387	0.784830
22	0.447200	0.447010	0.785572
23	0.432100	0.446268	0.784766
24	0.435400	0.444835	0.792336
25	0.438200	0.443549	0.788286
26	0.446000	0.443102	0.786314
27	0.442700	0.442140	0.795920
28	0.440200	0.441026	0.792040
29	0.444200	0.440432	0.792040
30	0.437800	0.439837	0.796281
31	0.438000	0.439095	0.793163
32	0.442800	0.438692	0.792973
33	0.441700	0.438225	0.795454
34	0.433500	0.437949	0.793163
35	0.432600	0.437621	0.793630
TrainOutput(global_step=412650, training_loss=0.46798291695272504, metrics={'train_runtime': 46019.4772, 'train_samples_per_second': 163.956, 'train_steps_per_second': 10.248, 'total_flos': 5.116032778153809e+20, 'train_loss': 0.46798291695272504, 'epoch': 35.0})
